Iter 1, Loss = 1.087855, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 311, Loss = 0.700984, Training Accuracy = 0.67969, Validation Accuracy = 0.65809
Iter 312, Loss = 0.696786, Training Accuracy = 0.66406, Validation Accuracy = 0.65809
Iter 313, Loss = 0.709484, Training Accuracy = 0.64844, Validation Accuracy = 0.65809
Iter 314, Loss = 0.708064, Training Accuracy = 0.66406, Validation Accuracy = 0.65809
Iter 315, Loss = 0.685371, Training Accuracy = 0.65625, Validation Accuracy = 0.66544
Iter 316, Loss = 0.703956, Training Accuracy = 0.67188, Validation Accuracy = 0.66176
Iter 317, Loss = 0.693505, Training Accuracy = 0.66406, Validation Accuracy = 0.66176
Iter 318, Loss = 0.696939, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 319, Loss = 0.693154, Training Accuracy = 0.66406, Validation Accuracy = 0.66176
Iter 320, Loss = 0.710628, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 321, Loss = 0.710209, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 322, Loss = 0.694648, Training Accuracy = 0.68750, Validation Accuracy = 0.66176
Iter 323, Loss = 0.703355, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 324, Loss = 0.699219, Training Accuracy = 0.64844, Validation Accuracy = 0.65809
Iter 325, Loss = 0.684599, Training Accuracy = 0.64844, Validation Accuracy = 0.65809
Iter 326, Loss = 0.702019, Training Accuracy = 0.65625, Validation Accuracy = 0.65809
Iter 327, Loss = 0.682875, Training Accuracy = 0.68750, Validation Accuracy = 0.66176
Iter 328, Loss = 0.702527, Training Accuracy = 0.63281, Validation Accuracy = 0.66176
Iter 329, Loss = 0.709240, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 330, Loss = 0.688734, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 331, Loss = 0.686033, Training Accuracy = 0.67188, Validation Accuracy = 0.66176
Iter 332, Loss = 0.698963, Training Accuracy = 0.69531, Validation Accuracy = 0.65809
Iter 333, Loss = 0.689878, Training Accuracy = 0.64844, Validation Accuracy = 0.66176
Iter 334, Loss = 0.674037, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 335, Loss = 0.677588, Training Accuracy = 0.67188, Validation Accuracy = 0.66176
Iter 336, Loss = 0.691675, Training Accuracy = 0.65625, Validation Accuracy = 0.66544
Iter 337, Loss = 0.688400, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 338, Loss = 0.693247, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 339, Loss = 0.692920, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 340, Loss = 0.703996, Training Accuracy = 0.68750, Validation Accuracy = 0.66544
Iter 341, Loss = 0.691976, Training Accuracy = 0.64062, Validation Accuracy = 0.66912
Iter 342, Loss = 0.708364, Training Accuracy = 0.64062, Validation Accuracy = 0.66176
Iter 343, Loss = 0.678857, Training Accuracy = 0.69531, Validation Accuracy = 0.65809
Iter 344, Loss = 0.695656, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 345, Loss = 0.686786, Training Accuracy = 0.64844, Validation Accuracy = 0.66544
Iter 346, Loss = 0.685282, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 347, Loss = 0.703369, Training Accuracy = 0.64062, Validation Accuracy = 0.66544
Iter 348, Loss = 0.709108, Training Accuracy = 0.64844, Validation Accuracy = 0.66176
Iter 349, Loss = 0.682742, Training Accuracy = 0.69531, Validation Accuracy = 0.66912
Iter 350, Loss = 0.687362, Training Accuracy = 0.64844, Validation Accuracy = 0.66176
Iter 351, Loss = 0.701601, Training Accuracy = 0.66406, Validation Accuracy = 0.66176
Iter 352, Loss = 0.686680, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 353, Loss = 0.689835, Training Accuracy = 0.64062, Validation Accuracy = 0.66912
Iter 354, Loss = 0.704678, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 355, Loss = 0.705355, Training Accuracy = 0.65625, Validation Accuracy = 0.66544
Iter 356, Loss = 0.677416, Training Accuracy = 0.64844, Validation Accuracy = 0.66544
Iter 357, Loss = 0.691027, Training Accuracy = 0.67188, Validation Accuracy = 0.66176
Iter 358, Loss = 0.686579, Training Accuracy = 0.64844, Validation Accuracy = 0.66544
Iter 359, Loss = 0.685680, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 360, Loss = 0.680641, Training Accuracy = 0.64844, Validation Accuracy = 0.66544
Iter 361, Loss = 0.673786, Training Accuracy = 0.64844, Validation Accuracy = 0.66176
Iter 362, Loss = 0.688775, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 363, Loss = 0.693290, Training Accuracy = 0.67969, Validation Accuracy = 0.66176
Iter 364, Loss = 0.679169, Training Accuracy = 0.63281, Validation Accuracy = 0.66176
Iter 365, Loss = 0.680735, Training Accuracy = 0.64062, Validation Accuracy = 0.66912
Iter 366, Loss = 0.695654, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 367, Loss = 0.697301, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 368, Loss = 0.682381, Training Accuracy = 0.64062, Validation Accuracy = 0.66912
Iter 369, Loss = 0.681957, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 370, Loss = 0.693672, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 371, Loss = 0.677833, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 372, Loss = 0.693537, Training Accuracy = 0.64062, Validation Accuracy = 0.66912
Iter 373, Loss = 0.684943, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 374, Loss = 0.686809, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 375, Loss = 0.690971, Training Accuracy = 0.64844, Validation Accuracy = 0.66912
Iter 376, Loss = 0.680356, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 377, Loss = 0.707015, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 378, Loss = 0.678004, Training Accuracy = 0.64844, Validation Accuracy = 0.66544
Iter 379, Loss = 0.696024, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 380, Loss = 0.677123, Training Accuracy = 0.68750, Validation Accuracy = 0.66544
Iter 381, Loss = 0.682698, Training Accuracy = 0.67969, Validation Accuracy = 0.66544
Iter 382, Loss = 0.701883, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 383, Loss = 0.681158, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 384, Loss = 0.693443, Training Accuracy = 0.66406, Validation Accuracy = 0.66912
Iter 385, Loss = 0.680224, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 386, Loss = 0.698923, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 387, Loss = 0.679019, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 388, Loss = 0.685900, Training Accuracy = 0.65625, Validation Accuracy = 0.66544
Iter 389, Loss = 0.691998, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 390, Loss = 0.698180, Training Accuracy = 0.65625, Validation Accuracy = 0.66544
Iter 391, Loss = 0.687986, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 392, Loss = 0.695524, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 393, Loss = 0.705725, Training Accuracy = 0.68750, Validation Accuracy = 0.66912
Iter 394, Loss = 0.694258, Training Accuracy = 0.64844, Validation Accuracy = 0.66544
Iter 395, Loss = 0.681628, Training Accuracy = 0.62500, Validation Accuracy = 0.66912
Iter 396, Loss = 0.684515, Training Accuracy = 0.69531, Validation Accuracy = 0.66912
Iter 397, Loss = 0.673594, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 398, Loss = 0.672639, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 399, Loss = 0.670995, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 400, Loss = 0.690711, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 401, Loss = 0.680524, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 402, Loss = 0.691936, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 403, Loss = 0.673749, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 404, Loss = 0.687756, Training Accuracy = 0.64844, Validation Accuracy = 0.66176
Iter 405, Loss = 0.693469, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 406, Loss = 0.687619, Training Accuracy = 0.67969, Validation Accuracy = 0.66544
Iter 407, Loss = 0.685547, Training Accuracy = 0.66406, Validation Accuracy = 0.66912
Iter 408, Loss = 0.660176, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 409, Loss = 0.689679, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 410, Loss = 0.684924, Training Accuracy = 0.65625, Validation Accuracy = 0.66544
Iter 411, Loss = 0.688707, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 412, Loss = 0.667679, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 413, Loss = 0.682957, Training Accuracy = 0.64844, Validation Accuracy = 0.66912
Iter 414, Loss = 0.678937, Training Accuracy = 0.64844, Validation Accuracy = 0.67279
Iter 415, Loss = 0.695632, Training Accuracy = 0.64844, Validation Accuracy = 0.66912
Iter 416, Loss = 0.680379, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 417, Loss = 0.692106, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 418, Loss = 0.682488, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 419, Loss = 0.696765, Training Accuracy = 0.64062, Validation Accuracy = 0.67279
Iter 420, Loss = 0.673689, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 421, Loss = 0.675509, Training Accuracy = 0.65625, Validation Accuracy = 0.66544
Iter 422, Loss = 0.671464, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 423, Loss = 0.689238, Training Accuracy = 0.63281, Validation Accuracy = 0.67279
Iter 424, Loss = 0.665023, Training Accuracy = 0.67969, Validation Accuracy = 0.67279
Iter 425, Loss = 0.680318, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 426, Loss = 0.679874, Training Accuracy = 0.64062, Validation Accuracy = 0.66912
Iter 427, Loss = 0.690059, Training Accuracy = 0.68750, Validation Accuracy = 0.66544
Iter 428, Loss = 0.693419, Training Accuracy = 0.64844, Validation Accuracy = 0.67279
Iter 429, Loss = 0.672326, Training Accuracy = 0.66406, Validation Accuracy = 0.66544
Iter 430, Loss = 0.676462, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 431, Loss = 0.682912, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 432, Loss = 0.681716, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 433, Loss = 0.672162, Training Accuracy = 0.66406, Validation Accuracy = 0.66912
Iter 434, Loss = 0.687070, Training Accuracy = 0.68750, Validation Accuracy = 0.67279
Iter 435, Loss = 0.683485, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 436, Loss = 0.688050, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 437, Loss = 0.660065, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 438, Loss = 0.671499, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 439, Loss = 0.699186, Training Accuracy = 0.66406, Validation Accuracy = 0.66912
Iter 440, Loss = 0.687824, Training Accuracy = 0.62500, Validation Accuracy = 0.66912
Iter 441, Loss = 0.681532, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 442, Loss = 0.677191, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 443, Loss = 0.672526, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 444, Loss = 0.676098, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 445, Loss = 0.685153, Training Accuracy = 0.64844, Validation Accuracy = 0.66912
Iter 446, Loss = 0.684440, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 447, Loss = 0.683634, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 448, Loss = 0.690899, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 449, Loss = 0.666648, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 450, Loss = 0.676342, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 451, Loss = 0.685716, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 452, Loss = 0.671404, Training Accuracy = 0.66406, Validation Accuracy = 0.66912
Iter 453, Loss = 0.677828, Training Accuracy = 0.65625, Validation Accuracy = 0.67279
Iter 454, Loss = 0.680110, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 455, Loss = 0.683959, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 456, Loss = 0.675820, Training Accuracy = 0.64844, Validation Accuracy = 0.67279
Iter 457, Loss = 0.677382, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 458, Loss = 0.677098, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 459, Loss = 0.689719, Training Accuracy = 0.64844, Validation Accuracy = 0.66912
Iter 460, Loss = 0.657618, Training Accuracy = 0.64844, Validation Accuracy = 0.67647
Iter 461, Loss = 0.682591, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 462, Loss = 0.655754, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 463, Loss = 0.679650, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 464, Loss = 0.665033, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 465, Loss = 0.689652, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 466, Loss = 0.690368, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 467, Loss = 0.672573, Training Accuracy = 0.64062, Validation Accuracy = 0.67647
Iter 468, Loss = 0.671386, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 469, Loss = 0.671181, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 470, Loss = 0.665222, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 471, Loss = 0.675606, Training Accuracy = 0.69531, Validation Accuracy = 0.66912
Iter 472, Loss = 0.676883, Training Accuracy = 0.67188, Validation Accuracy = 0.68015
Iter 473, Loss = 0.674036, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 474, Loss = 0.671750, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 475, Loss = 0.670088, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 476, Loss = 0.666261, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 477, Loss = 0.683789, Training Accuracy = 0.63281, Validation Accuracy = 0.67279
Iter 478, Loss = 0.676659, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 479, Loss = 0.685533, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 480, Loss = 0.678535, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 481, Loss = 0.669465, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 482, Loss = 0.685215, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 483, Loss = 0.674586, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 484, Loss = 0.676732, Training Accuracy = 0.70312, Validation Accuracy = 0.68015
Iter 485, Loss = 0.677652, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 486, Loss = 0.661600, Training Accuracy = 0.67969, Validation Accuracy = 0.66912
Iter 487, Loss = 0.681180, Training Accuracy = 0.65625, Validation Accuracy = 0.68015
Iter 488, Loss = 0.663498, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 489, Loss = 0.658715, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 490, Loss = 0.674845, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 491, Loss = 0.672428, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 492, Loss = 0.661738, Training Accuracy = 0.67969, Validation Accuracy = 0.67279
Iter 493, Loss = 0.681403, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 494, Loss = 0.679707, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 495, Loss = 0.661121, Training Accuracy = 0.64062, Validation Accuracy = 0.68015
Iter 496, Loss = 0.663743, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 497, Loss = 0.661887, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 498, Loss = 0.677004, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 499, Loss = 0.677291, Training Accuracy = 0.67188, Validation Accuracy = 0.68015
Iter 500, Loss = 0.669668, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 501, Loss = 0.672508, Training Accuracy = 0.66406, Validation Accuracy = 0.68015
Iter 502, Loss = 0.668854, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 503, Loss = 0.669206, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 504, Loss = 0.662556, Training Accuracy = 0.64844, Validation Accuracy = 0.68015
Iter 505, Loss = 0.664757, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 506, Loss = 0.677248, Training Accuracy = 0.67188, Validation Accuracy = 0.66912
Iter 507, Loss = 0.650925, Training Accuracy = 0.69531, Validation Accuracy = 0.68015
Iter 508, Loss = 0.666415, Training Accuracy = 0.64062, Validation Accuracy = 0.68015
Iter 509, Loss = 0.657881, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 510, Loss = 0.679217, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 511, Loss = 0.666661, Training Accuracy = 0.65625, Validation Accuracy = 0.68015
Iter 512, Loss = 0.687592, Training Accuracy = 0.64844, Validation Accuracy = 0.68015
Iter 513, Loss = 0.666430, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 514, Loss = 0.679604, Training Accuracy = 0.64844, Validation Accuracy = 0.67647
Iter 515, Loss = 0.685679, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 516, Loss = 0.674543, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 517, Loss = 0.665653, Training Accuracy = 0.67188, Validation Accuracy = 0.68015
Iter 518, Loss = 0.661976, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 519, Loss = 0.667908, Training Accuracy = 0.69531, Validation Accuracy = 0.68015
Iter 520, Loss = 0.663593, Training Accuracy = 0.68750, Validation Accuracy = 0.68015
Iter 521, Loss = 0.679892, Training Accuracy = 0.68750, Validation Accuracy = 0.68015
Iter 522, Loss = 0.675971, Training Accuracy = 0.64844, Validation Accuracy = 0.68015
Iter 523, Loss = 0.659911, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 524, Loss = 0.670329, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 525, Loss = 0.668762, Training Accuracy = 0.67188, Validation Accuracy = 0.68015
Iter 526, Loss = 0.669700, Training Accuracy = 0.64844, Validation Accuracy = 0.68015
Iter 527, Loss = 0.673662, Training Accuracy = 0.71094, Validation Accuracy = 0.68382
Iter 528, Loss = 0.661244, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 529, Loss = 0.660063, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 530, Loss = 0.664145, Training Accuracy = 0.64062, Validation Accuracy = 0.68015
Iter 531, Loss = 0.662967, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 532, Loss = 0.672815, Training Accuracy = 0.66406, Validation Accuracy = 0.68015
Iter 533, Loss = 0.665518, Training Accuracy = 0.65625, Validation Accuracy = 0.67279
Iter 534, Loss = 0.651131, Training Accuracy = 0.67969, Validation Accuracy = 0.67279
Iter 535, Loss = 0.670984, Training Accuracy = 0.67969, Validation Accuracy = 0.67279
Iter 536, Loss = 0.670461, Training Accuracy = 0.67969, Validation Accuracy = 0.67279
Iter 537, Loss = 0.665799, Training Accuracy = 0.65625, Validation Accuracy = 0.68015
Iter 538, Loss = 0.663073, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 539, Loss = 0.681650, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 540, Loss = 0.679188, Training Accuracy = 0.67188, Validation Accuracy = 0.68015
Iter 541, Loss = 0.657864, Training Accuracy = 0.71094, Validation Accuracy = 0.68382
Iter 542, Loss = 0.673425, Training Accuracy = 0.68750, Validation Accuracy = 0.68382
Iter 543, Loss = 0.664617, Training Accuracy = 0.65625, Validation Accuracy = 0.68015
Iter 544, Loss = 0.659207, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 545, Loss = 0.659742, Training Accuracy = 0.65625, Validation Accuracy = 0.66912
Iter 546, Loss = 0.677073, Training Accuracy = 0.64844, Validation Accuracy = 0.67647
Iter 547, Loss = 0.672153, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 548, Loss = 0.677862, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 549, Loss = 0.685329, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 550, Loss = 0.678288, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 551, Loss = 0.675203, Training Accuracy = 0.69531, Validation Accuracy = 0.68015
Iter 552, Loss = 0.676165, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 553, Loss = 0.647158, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 554, Loss = 0.656890, Training Accuracy = 0.72656, Validation Accuracy = 0.67647
Iter 555, Loss = 0.655125, Training Accuracy = 0.70312, Validation Accuracy = 0.67647
Iter 556, Loss = 0.662796, Training Accuracy = 0.70312, Validation Accuracy = 0.67647
Iter 557, Loss = 0.649626, Training Accuracy = 0.64062, Validation Accuracy = 0.67647
Iter 558, Loss = 0.661418, Training Accuracy = 0.67188, Validation Accuracy = 0.68015
Iter 559, Loss = 0.681623, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 560, Loss = 0.671009, Training Accuracy = 0.71094, Validation Accuracy = 0.68382
Iter 561, Loss = 0.656500, Training Accuracy = 0.65625, Validation Accuracy = 0.67279
Iter 562, Loss = 0.680621, Training Accuracy = 0.66406, Validation Accuracy = 0.67279
Iter 563, Loss = 0.677760, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 564, Loss = 0.655913, Training Accuracy = 0.67188, Validation Accuracy = 0.68015
Iter 565, Loss = 0.664505, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 566, Loss = 0.654568, Training Accuracy = 0.70312, Validation Accuracy = 0.67279
Iter 567, Loss = 0.683007, Training Accuracy = 0.69531, Validation Accuracy = 0.67279
Iter 568, Loss = 0.654014, Training Accuracy = 0.64844, Validation Accuracy = 0.67647
Iter 569, Loss = 0.648669, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 570, Loss = 0.663088, Training Accuracy = 0.65625, Validation Accuracy = 0.68015
Iter 571, Loss = 0.667215, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 572, Loss = 0.671931, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 573, Loss = 0.653911, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 574, Loss = 0.667203, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 575, Loss = 0.666226, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 576, Loss = 0.660139, Training Accuracy = 0.65625, Validation Accuracy = 0.68015
Iter 577, Loss = 0.667908, Training Accuracy = 0.70312, Validation Accuracy = 0.68015
Iter 578, Loss = 0.670526, Training Accuracy = 0.69531, Validation Accuracy = 0.67279
Iter 579, Loss = 0.653942, Training Accuracy = 0.64062, Validation Accuracy = 0.67647
Iter 580, Loss = 0.668571, Training Accuracy = 0.67969, Validation Accuracy = 0.68382
Iter 581, Loss = 0.669359, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 582, Loss = 0.674497, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 583, Loss = 0.645799, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 584, Loss = 0.645209, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 585, Loss = 0.648259, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 586, Loss = 0.650143, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 587, Loss = 0.663046, Training Accuracy = 0.64844, Validation Accuracy = 0.67279
Iter 588, Loss = 0.655775, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 589, Loss = 0.658877, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 590, Loss = 0.665305, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 591, Loss = 0.647814, Training Accuracy = 0.69531, Validation Accuracy = 0.67647
Iter 592, Loss = 0.650160, Training Accuracy = 0.67188, Validation Accuracy = 0.67279
Iter 593, Loss = 0.660588, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 594, Loss = 0.662224, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 595, Loss = 0.660141, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 596, Loss = 0.650496, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 597, Loss = 0.672435, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 598, Loss = 0.660226, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 599, Loss = 0.645692, Training Accuracy = 0.66406, Validation Accuracy = 0.67647
Iter 600, Loss = 0.645646, Training Accuracy = 0.67188, Validation Accuracy = 0.67647
Iter 601, Loss = 0.663220, Training Accuracy = 0.67969, Validation Accuracy = 0.67647
Iter 602, Loss = 0.662090, Training Accuracy = 0.72656, Validation Accuracy = 0.67647
Iter 603, Loss = 0.673345, Training Accuracy = 0.68750, Validation Accuracy = 0.67279
Iter 604, Loss = 0.658621, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 605, Loss = 0.644666, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 606, Loss = 0.656901, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 607, Loss = 0.660331, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 608, Loss = 0.651123, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 609, Loss = 0.664739, Training Accuracy = 0.65625, Validation Accuracy = 0.67647
Iter 610, Loss = 0.654701, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 611, Loss = 0.648095, Training Accuracy = 0.68750, Validation Accuracy = 0.67647
Iter 612, Loss = 0.644327, Training Accuracy = 0.67188, Validation Accuracy = 0.68382
Iter 613, Loss = 0.654993, Training Accuracy = 0.70312, Validation Accuracy = 0.67279
Iter 614, Loss = 0.666364, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 615, Loss = 0.667311, Training Accuracy = 0.68750, Validation Accuracy = 0.68015
Iter 616, Loss = 0.644768, Training Accuracy = 0.68750, Validation Accuracy = 0.67279
Iter 617, Loss = 0.669310, Training Accuracy = 0.65625, Validation Accuracy = 0.68015
Iter 618, Loss = 0.660779, Training Accuracy = 0.65625, Validation Accuracy = 0.67279
Iter 619, Loss = 0.647691, Training Accuracy = 0.67969, Validation Accuracy = 0.68015
Iter 620, Loss = 0.654643, Training Accuracy = 0.67969, Validation Accuracy = 0.66544
